,alpha,performance,capacity,method
423,3.0,0.477833852265239,0.0,rewire
424,3.5,0.3565869522553582,0.0,rewire
425,0.3,4.530599766258213,6.0,rewire
426,0.5,4.842231540681929,5.0,rewire
427,0.7,5.301763499895383,5.0,rewire
428,0.8,5.847198281579262,5.0,rewire
429,0.9,6.215323332973508,5.0,rewire
430,0.95,5.885440728814398,5.0,rewire
431,1.0,4.39394429732048,5.0,rewire
432,1.05,2.1079101391045096,14.0,rewire
433,1.1,1.6728183638118093,3.0,rewire
434,1.2,1.1648013789035505,8.0,rewire
435,1.3,1.0354888538425642,0.0,rewire
436,1.4,0.9599058317361212,0.0,rewire
437,1.5,0.833290485511299,0.0,rewire
438,2.0,0.531440034336142,0.0,rewire
439,2.5,0.428175350380239,0.0,rewire
440,3.0,0.4647932482633591,0.0,rewire
441,3.5,0.4117168685129302,0.0,rewire
442,0.3,4.534545773020112,6.0,rewire
443,0.5,4.836903254439709,5.0,rewire
444,0.7,5.367029472068667,5.0,rewire
445,0.8,5.839340871890419,5.0,rewire
446,0.9,6.508772422253055,6.0,rewire
447,0.95,6.14621122670815,5.0,rewire
448,1.0,4.3940191133127176,5.0,rewire
449,1.05,2.07511288362268,14.0,rewire
450,1.1,1.2170494281048556,11.0,rewire
451,1.2,1.1487103976468385,8.0,rewire
452,1.3,1.0385743217734655,0.0,rewire
453,1.4,0.9693122930626918,0.0,rewire
454,1.5,0.8187201274980872,0.0,rewire
455,2.0,0.5434197221773645,0.0,rewire
456,2.5,0.4648788365536028,0.0,rewire
457,3.0,0.3877872572414778,0.0,rewire
458,3.5,0.3813173961157898,0.0,rewire
459,0.3,4.537021894172013,6.0,rewire
460,0.5,4.817851176414056,5.0,rewire
461,0.7,5.374841949559457,5.0,rewire
462,0.8,5.90688401550264,5.0,rewire
463,0.9,6.42633316175005,5.0,rewire
464,0.95,5.955611416178686,5.0,rewire
465,1.0,4.384309758886553,5.0,rewire
466,1.05,2.0811136641966788,14.0,rewire
467,1.1,1.789603565043353,3.0,rewire
468,1.2,1.181694080681455,8.0,rewire
469,1.3,1.0308674494779777,0.0,rewire
470,1.4,0.972797962672445,0.0,rewire
471,1.5,0.8437811718685109,0.0,rewire
472,2.0,0.5223049055997936,0.0,rewire
473,2.5,0.4807805742950928,0.0,rewire
474,3.0,0.423793839293285,0.0,rewire
475,3.5,0.3510907882311894,0.0,rewire
476,0.3,4.54192341746687,6.0,rewire
477,0.5,4.832019788161808,5.0,rewire
478,0.7,5.428724052803641,5.0,rewire
479,0.8,5.894771727799306,5.0,rewire
480,0.9,6.340424608632374,5.0,rewire
481,0.95,6.018448395264228,5.0,rewire
482,1.0,4.55603369998168,5.0,rewire
483,1.05,2.108392276454438,14.0,rewire
484,1.1,1.395444489653615,3.0,rewire
485,1.2,1.1491281590615043,8.0,rewire
486,1.3,1.063035492562712,0.0,rewire
487,1.4,0.9870727496470512,0.0,rewire
488,1.5,0.8304442775369497,0.0,rewire
489,2.0,0.4989448158108601,0.0,rewire
490,2.5,0.4697448755616363,0.0,rewire
491,3.0,0.4681152987497617,0.0,rewire
492,3.5,0.3909759828143486,0.0,rewire
493,0.3,4.533746499263744,6.0,rewire
494,0.5,4.857882218317352,5.0,rewire
495,0.7,5.419651969898652,5.0,rewire
496,0.8,6.382242777895848,6.0,rewire
497,0.9,6.783992485520842,6.0,rewire
498,0.95,6.454814751588387,6.0,rewire
499,1.0,4.999419102758205,5.0,rewire
500,1.05,2.09022052965024,14.0,rewire
501,1.1,1.538790688021006,3.0,rewire
502,1.2,1.1718562321744803,8.0,rewire
503,1.3,1.0473209946555828,0.0,rewire
504,1.4,0.9646788078606314,0.0,rewire
505,1.5,0.8399440213013399,0.0,rewire
506,2.0,0.5279112359137919,0.0,rewire
507,2.5,0.3916544527793161,0.0,rewire
508,3.0,0.3967352669084578,0.0,rewire
509,3.5,0.3881912994351629,0.0,rewire
510,0.3,4.533746499263744,6.0,rewire
511,0.5,4.857882218317352,5.0,rewire
512,0.7,5.419651969898652,5.0,rewire
513,0.8,6.382242777895848,6.0,rewire
514,0.9,6.783992485520842,6.0,rewire
515,0.95,6.454814751588387,6.0,rewire
516,1.0,4.999419102758205,5.0,rewire
517,1.05,2.09022052965024,14.0,rewire
518,1.1,1.538790688021006,3.0,rewire
519,1.2,1.1718562321744803,8.0,rewire
520,1.3,1.0473209946555828,0.0,rewire
521,1.4,0.9646788078606314,0.0,rewire
522,1.5,0.8399440213013399,0.0,rewire
523,2.0,0.5279112359137919,0.0,rewire
524,2.5,0.3916544527793161,0.0,rewire
525,3.0,0.3967352669084578,0.0,rewire
526,3.5,0.3881912994351629,0.0,rewire
527,0.3,4.541194932720616,6.0,rewire
528,0.5,4.839730739958515,5.0,rewire
529,0.7,5.344947270255734,5.0,rewire
530,0.8,5.818801018912739,5.0,rewire
531,0.9,6.047714329235481,5.0,rewire
532,0.95,5.816671982815262,5.0,rewire
533,1.0,4.228998781483307,7.0,rewire
534,1.05,2.0171917572100275,13.0,rewire
535,1.1,1.4277050838872338,3.0,rewire
536,1.2,1.1498089196574806,8.0,rewire
537,1.3,1.0544256595577253,0.0,rewire
538,1.4,0.9825088619000832,0.0,rewire
539,1.5,0.8466279224617548,0.0,rewire
540,2.0,0.5523255263863631,0.0,rewire
541,2.5,0.455413076304804,0.0,rewire
542,3.0,0.4065056382273218,0.0,rewire
543,3.5,0.4240730139180525,0.0,rewire
544,0.3,4.527697187630161,6.0,rewire
545,0.5,4.835313598959212,5.0,rewire
546,0.7,5.475735559005307,5.0,rewire
547,0.8,6.186059532992072,6.0,rewire
548,0.9,6.79942146838308,6.0,rewire
549,0.95,6.5324760112243645,6.0,rewire
550,1.0,4.921635841680101,5.0,rewire
551,1.05,2.0930498897511303,14.0,rewire
552,1.1,1.231733205541342,3.0,rewire
553,1.2,1.2060069184270372,8.0,rewire
554,1.3,1.0476817432316106,0.0,rewire
555,1.4,0.9638445136485344,0.0,rewire
556,1.5,0.8527099148801218,0.0,rewire
557,2.0,0.5435076686007891,0.0,rewire
558,2.5,0.4932171818724764,0.0,rewire
559,3.0,0.3161924017935172,0.0,rewire
560,3.5,0.354739359636153,0.0,rewire
